code,name,creator_id,created_at,updated_at,deleted_at,manufacture_dept_id,department_id,leaktime
chuan_bi,Chuẩn bị,401,2022-11-07 09:21:01+00:00,2022-11-07 09:21:01+00:00,,4,120.0,2
phoi,Phối,400,2022-11-07 09:21:05+00:00,2022-11-07 09:21:05+00:00,,3,119.0,2
theu,Thêu,393,2022-11-07 09:21:09+00:00,2022-11-07 09:21:09+00:00,,1,117.0,2
cat,Cắt,403,2022-11-07 09:21:14+00:00,2022-11-07 09:21:14+00:00,,2,122.0,2
LEAN 1,May 1,1,2022-11-25 11:20:00+00:00,2022-11-25 11:20:00+00:00,,5,,2
LEAN 2,May 2,1,2022-11-25 11:20:04+00:00,2022-11-25 11:20:04+00:00,,6,,2
LEAN 3,May 3,1,2022-11-25 11:20:08+00:00,2022-11-25 11:20:08+00:00,,7,,2
LEAN MAU,May mẫu,1,2022-11-25 11:20:12+00:00,2022-11-25 11:20:12+00:00,,11,,2
LEAN 4,May 4,1,2022-11-25 11:20:16+00:00,2022-11-25 11:20:16+00:00,,8,,2
LEAN 5,May 5,1,2022-11-25 11:20:22+00:00,2022-11-25 11:20:22+00:00,,9,,2
LEAN 6,May 6,1,2022-11-25 11:20:28+00:00,2022-11-25 11:20:28+00:00,,10,,2
